回答url,页码,评论作者,作者性别,评论内容,作者主页,作者头像,评论时间,评论级别,点赞数,IP属地
https://www.zhihu.com/answer/31245079,1,梅启铭,未知,C#表示自己的递归并且带容器属性的类结构可以轻松map进xml，但是一旦map进json就会有那些恶心的到底该创建哪个子类的问题。,https://www.zhihu.com/people/excited-vczh,https://picx.zhimg.com/v2-ada18a9354a3831171306f2c7ce20aaf.jpg?source=06d4cd63,2014-10-01 02:15:40,一级评论,5,
https://www.zhihu.com/answer/31245079,1,匿名用户,未知,c# 黑魔法走开啦,https://www.zhihu.com/people/,https://picx.zhimg.com/aadd7b895.jpg?source=06d4cd63,2014-10-01 05:45:34,二级评论,9,
https://www.zhihu.com/answer/31245079,1,谈阿胖,男,咦，作者居然不是轮子？看示例代码还以为是轮子哥呢。。。。,https://www.zhihu.com/people/dapangzhi,https://pic1.zhimg.com/459786fc2.jpg?source=06d4cd63,2014-10-02 00:15:54,一级评论,3,
https://www.zhihu.com/answer/31245079,1,飞影,男,god。。。,https://www.zhihu.com/people/fei-ying,https://pica.zhimg.com/bb8d469de543818d767baa4a10ec1e57.jpg?source=06d4cd63,2014-10-01 04:30:38,一级评论,2,
https://www.zhihu.com/answer/31245079,1,郑博开,男,看到口号，来评论去看吵架<br>我也用PHP。。。,https://www.zhihu.com/people/zheng-bo-kai-89,https://pica.zhimg.com/fee369df7.jpg?source=06d4cd63,2014-10-01 11:22:27,一级评论,0,
https://www.zhihu.com/answer/31245079,1,Anson,男,php is the god too....,https://www.zhihu.com/people/ceng-hao-75,https://picx.zhimg.com/v2-4bfc552a2d6442bbae4c8d15bb6da565.jpg?source=06d4cd63,2014-10-01 10:54:12,一级评论,0,
https://www.zhihu.com/answer/31245079,1,Du Ken,男,好吧，理解成网络中那个了,https://www.zhihu.com/people/du-ken-63,https://pic1.zhimg.com/af4ffec03.jpg?source=06d4cd63,2014-10-01 09:20:53,一级评论,0,
https://www.zhihu.com/answer/31245079,1,Du Ken,男,ad-hoc？这能跟sexy扯上关系？,https://www.zhihu.com/people/du-ken-63,https://picx.zhimg.com/af4ffec03.jpg?source=06d4cd63,2014-10-01 09:18:52,一级评论,0,
https://www.zhihu.com/answer/31245079,1,Wong,男,为什么要匿名！,https://www.zhihu.com/people/freeheart,https://picx.zhimg.com/d15e0c70b6dfb352993efb978d612bf7.jpg?source=06d4cd63,2014-10-01 07:28:09,一级评论,0,
https://www.zhihu.com/answer/3457938953,1,c0rnP1ex,男,<p>感觉可以发ACL</p>,https://www.zhihu.com/people/ya-li-shi-que-de-52,https://picx.zhimg.com/v2-0dd96e0ff998016a509699ade2278c8f.jpg?source=06d4cd63,2024-04-08 13:56:37,一级评论,4,广东
https://www.zhihu.com/answer/3457938953,1,萧叶轩,男,<p>微软的工具链里的XML就都有schema，靠schema还能实现补全，只能说xml用起来需要成本，大部分公司承受不了。但有schema确实能一定程度保证正确，现在用json写配置文件，写错了也看不出来。</p>,https://www.zhihu.com/people/xiao-xie-xuan,https://picx.zhimg.com/v2-4ce28373c7585ae4e1ba689371192419.jpg?source=06d4cd63,2024-04-11 17:01:16,一级评论,2,辽宁
https://www.zhihu.com/answer/3457938953,1,倪静风,男,冗余度太高了,https://www.zhihu.com/people/find-goo,https://picx.zhimg.com/v2-a5c4ec5b99f54dd47c6ea879b67b7930.jpg?source=06d4cd63,2024-04-12 07:04:49,二级评论,0,安徽
https://www.zhihu.com/answer/3457938953,1,又眠,男,<p>vscode 的 config 是可补全的 json，对于特定的配置文件，想做补全和检查也是能做的，不需要 XML 那么通用</p>,https://www.zhihu.com/people/chen-xi-72-15-1,https://picx.zhimg.com/v2-46135682a13a79b2b5b6ec99f9bd8e0c.jpg?source=06d4cd63,2024-04-12 16:04:42,二级评论,0,浙江
https://www.zhihu.com/answer/3457938953,1,光子猫,男,“存在大量机器跟机器之间的通信，这些通信都是可扩展的，对于支持的扩展软件要对 schema 完全支持，但对于不支持的扩展软件可以完全无视。”你说的是不是protocol buffer[捂脸],https://www.zhihu.com/people/ke-xu-77,https://picx.zhimg.com/f27215494.jpg?source=06d4cd63,2024-04-08 18:12:17,一级评论,1,美国
https://www.zhihu.com/answer/3457938953,1,Joker,未知,这么一想，对于这个场景，protobuf这种二进制协议才是正道，毕竟机器又不需要可读性,https://www.zhihu.com/people/joker238789590,https://picx.zhimg.com/95ab2f032c9430f59731f582929b2a2a.jpg?source=06d4cd63,2024-04-12 12:13:55,二级评论,0,广东
https://www.zhihu.com/answer/3457938953,1,BinglunGe,男,语义网，时代的眼泪。,https://www.zhihu.com/people/binglunge,https://pic1.zhimg.com/v2-d5cb6fb64dda604af732fd38c0581eca.jpg?source=06d4cd63,2024-04-12 03:56:13,一级评论,1,北京
https://www.zhihu.com/answer/3457938953,1,一桶冷水,男,xml的设想是世界是开放的。随便谁，拿到一个接口就可以用。然而现实不是这样，大家热衷于创造新协议和不写规范。[doge],https://www.zhihu.com/people/hao-qi-35-24,https://picx.zhimg.com/v2-ec5085f633a69663c1abd624ad69e1c6.jpg?source=06d4cd63,2024-04-20 08:44:53,一级评论,2,上海
